TweetID,Tweet1,Type1,Tweet2,Type2,Tweet3,Type3,Tweet4,Type4,Tweet5,Type5,Tweet6,Type6,Tweet7,Type7,Tweet8,Type8,Tweet9,Type9,Tweet10,Type10,Rated,P1,C1,P2,C2,P3,C3,P4,C4,P5,C5
BonJovi,"The #StandUpForUkraine Social Media Rally STARTS NOW! Join artists, athletes, advocates, &amp; Global Citizens all around the world as we use our voices to fight for refugees in Ukraine and in conflict areas globally. Here's how you can join 👇",retweet,"The Amazon is burning. 73,000 fires have been detected in Brazil with no signs of stopping. The loss of the forest is accelerating climate change for us. Want to help? Support the work of . Click here and make a donation. #PrayforAmazonia",tweet,Bon Jovi reminds us what rock gods are made of with his triumphant new single!,retweet,"Vote #JBJSoulKitchen Toms River in ""Best of the Best""! Casual dining, fam friendly, charitable org",retweet,"SHOW YOUR LOVE &amp; THANK YOU FOR ALL THE LOVE! if you were on the fence for dropping $100 for a Phil X tap dance video, now's the time. it's 2 for 1 votes so your $100 = 200 votes. also, a portion of the proceeds go to Feeding America so the love is spread around.",retweet,"Bill Clinton, Governor Cuomo, and more come out to support Jon Bon Jovi's foundation",retweet,"""The goal is honesty. You have to be honest if you’re gonna take on this task, and yet be truthful in its delivery so that men and women who did serve, will feel a pride when they hear this song.” -- Jon on writing #Unbroken. #VeteransDay",retweet,. has seen &amp; rocked 1 million + faces during their career. Share &amp; support with your #RockHall2018 vote:,retweet,100% of the net proceeds from the download of American Reckoning will support Bryan Stevenson’s Equal Justice Initiative - Link to listen and download can be found in my bio and below.,retweet,35 years worth of memories…we can’t give everything away! Post your favorite memories on socials using #bonjovimemories and you can make it onto the big screen at one of our concerts!,tweet,0,,,,,,,,,,
Jerrybraden92,"@GovMurphy That cost is crazy… not fair to business owners trying to start up. And I think that’s a big problem in America right now. The costs associated for businesses to either start up or remain open are driving these businesses to the ground, unfortunately and causing them to fail..",reply,The vocal part I can understand… he’s saying when “Jon’s ready” and that’s how he should’ve worded it. The “he’d be crazy not to” was out of line acting like they need him. I mean that’s how he talks and there’s potential he didn’t mean it in a bad way.,reply,"I think the root of the problem is is that he doesn’t like his place in the band and always wanted to be more like Jon, a frontman. But he’s a phenomenal guitar player, singer, and songwriter. This tears up so many bands because member wanna over extend themselves and don’t know…",reply,"Exactly.. I think that’s why Richie is saying what he’s saying with his contributions. He’s realized the band has successfully moved on without him and Richie feels he needs to remind everyone of his contributions… and it even in an “we” manner, but an “I” manner that’s not fair…",reply,"I don’t know, after last year… have to find ways to sell tickets…. From a general public point of view. Like the idea of Bryan Adams… I think we will see something similar in the future. Definitely not a band as big as Bon Jovi, but definitely a notable name.",reply,"It’s actually a smart business move that he sold his rights… he made a lot more money on those songs than he will see for the rest of his lifetime. Many artists are selling their rights to songs. With the music industry now and record companies, it’s a smart move.",reply,"You took the words right out of my mouth… If this “reunion” does happen, it’s not off to a good start. Gotta put egos aside and just have fun and “do it for the fans” as he says. There’s gonna be egos colliding and we will be in the same spot as we were in April 2013",reply,"Yeah. That’s possible. I think he’s mentioned he takes vocal lessons almost everyday. For the first time in his career, I’m glad he’s able to take some time off and really work at it. And hopefully next tour, he will be stronger than ever.",reply,"I don’t think it’s all for publicity.. sure, it’s definitely helping with promoting his solo album.. but Richie wouldn’t heavily say about reuniting if it wasn’t semi true. To what extent of coming back, that’s what needs clarified and I’m sure it’ll be announced publicly soon,…",reply,"I honestly wouldn’t want to ship the bobble heads to Australia not knowing the condition they’d be in when they’d arrive there. I’d package very safely, but our mail system is nuts. Just don’t want you to spend money on something that could potentially break all the way there.…",reply,0,,,,,,,,,,
Tellwut,The @CNN recently released their poll results indicating that most of the Americans think that @realDonaldTrump will win 2020 elections. On the contrary polls show that 60% of Americans think that #Trump will not win 2020 elections. What do you think? comment below!,tweet,"**25 Points** President Donald Trump tweeted a call to ""LIBERATE"" Michigan, Minnesota, and Virginia after protests of stay-at-home orders and social-distancing guidelines. Do you think we should ""liberate"" America? #liberateAmerica",tweet,Are you happy with who you voted for as the new President of the United States? #Trump #Biden #Election2020,tweet,So recent news had revealed that Biden also had multiple classified or top secret documents in his possession at offices and his home. Do you agree that both Biden and Trump should be criminally charged and barred from ever running for office again?,tweet,25% of respondents said that Barack Obama is the worst President of all time. Who do you think is the worst POTUS? #MRX #MAGA #ObamaLegacy,tweet,Our recent survey looked at perception of people in USA with respect to @realDonaldTrump policy of giving tax exemptions to richest families in USA. 51% of working class thinks that he gives them tax exemptions because they fund his election campaign. #TuesdayThoughts,tweet,**25 Points** #Trump files emergency request with Supreme Court to stop release of his tax returns. Will they allow it?,tweet,"Vote on a #paidsurvey Melania Trump appeared oddly unresponsive and almost cold during Trump's SOTU on Tuesday. She barely even smiled, only once or twice at some hero's stories. What's up with her?",retweet,**25 Points** President Trump admitted today that he is refusing to fund the USPS because he wants to undermine vote by mail. Do you think people should be able to vote by mail?,tweet,As @CNN reported that @Twitter has added a new feature that asks you if you have read the post before you share it on your feed! We did a survey with more than 3300 Tellwut members which indicated that 74% of them do read posts/articles before sharing it on their social media.,tweet,0,,,,,,,,,,
dealseekingdame,"Memo to President-elect Trump: Just like ""gay marriage,"" (aka equality) has been settled, so too has Roe. We're not going back.",retweet,Kamala Harris makes HISTORY! She is the 1st Black woman to be elected to Senate in California &amp; is 1st Black female U.S. Senator since 1999.,retweet,"With the KGB's help, America Elects A Bigot. Never thought I'd see the Republicans siding with the KGB.",retweet,Tell the Senate: Support @SenJeffMerkley's amendment to repeal the Monsanto Protection Act:,tweet,"Perspective: as much as 19th century white America hated black people, they gave black men the right to vote 50 years before white women.",retweet,Omg Senator Cory Booker! Yes please!!!,quote,The #SafetyPin movement started as a response to Donald Trump's victory — here's why,retweet,#MyWishForTheFuture is that in 2020 Trump is defeated in a landslide by a jewish black lesbian,retweet,Sad but this is happening on the FIRST DAY of Trump's presidency... THIS HAS TO BE STOPPED! #NotMyPresident #TrumpProtest,retweet,. had over 270 calls on their suicide prevention hotline in the first 24 hours post-Election. #FacingRace,retweet,0,,,,,,,,,,
shespeaksup,"This week's podcast guest is Emily Tisch Sussman, a Democratic political strategist and host of Marie Claire's podcast, She Pivots. She and Aliza discuss her podcast, the identity shift that comes with choosing to not go back to a face paced job, and so much more.",tweet,Ready to feel inspired? Swipe to see some of the top Forbes 30 under 30 - Women Shaping the Creator Economy. You can read more here: #forbes #womenempowerment #women #feminist #womenpower #strongwomen #forbes30under30 #creators #creator #influencers,tweet,Share in the celebration of SHE by sharing a picture of a woman or girl you’re celebrating on social media with the hashtag #CelebrateSHE. Check out the hashtag to see inspiration from others! #WalmartHerSHEy,tweet,How did you - or will you - physically vote in the presidential election this year? Take the poll at .,tweet,"🎧 Listen in as we chat with money expert, on our latest episode of the podcast! Stefanie shares some truth about money, ambition &amp; how you can change the way you think about both! Full episode &gt;&gt;&gt; #shespeakspodcast",tweet,"Yes, menopause results in ten erasure of older women and that is bullshit. We know women are vital and active members of society regardless of ovarian function. There is excellent data to back this up #ReadTheMenopauseManifesto",retweet,Michelle Obama is the host of a new podcast series about relationships. Will you subscribe?,tweet,"What do women want from work? With the loss of over 5 million women from the workforce since 2020, this question is critically important for companies to answer. We teamed up with and on an important new study. Take it now!",tweet,"""I’m reminded of the incredibly brave and powerful women that stepped into their voices and power to make a difference in our world. And this not-so-little-anymore one of mine wants to step into hers."" - #CelebrateSHE #WalmartHerSHEy",tweet,"Making sure women are empowered financially is something we're passionate about. Tomorrow, 7/29 at 2pm ET, will be discussing how the COVID-19 market downturn can affect women planning for retirement. Tune in here: #ad #Prudential",tweet,0,,,,,,,,,,
Ashby21,"Top officials from organizations representing American hospitals, doctors, and nurses are calling on President Trump to share critical Covid-19 data with President-elect Biden’s transition team “as soon as possible” to ""save countless lives.""",retweet,@realDonaldTrump @nytimes The White House literally briefed Congress on this yesterday and not a single person in Congress said it was a hoax. In fact they all condemned Russia. Trump is obviously afraid of Putin. He knows Putin won’t help him win the election if he condemns him.,retweet,"@realDonaldTrump It's almost as if Trump has taken Russia's side and wants to just watch Americans destroy each other. He's more concerned about stoking a civil war in America, than holding our real enemies accountable. We are American. We are one! Let's stand up to Russia, not each other.",retweet,"Elections company Dominion Voting Systems is suing former Trump lawyer Sidney Powell, who has spent much of the past two months claiming Dominion rigged the 2020 election and was somehow tied to Hugo Chavez, none of which is true.",retweet,"When a sitting United States Senator contacts a Secretary of State asking them to throw out legal ballots and interfere with an election, that person should no longer be a sitting United States Senator.",retweet,"2 died of Ebola: They said Obama should resign. 4 died in Benghazi: They had Hillary testify for 11 hours, held 33 hearings, and launched a multiyear probe. 432,541 Covid deaths plus deadly Capitol riots thanks to Trump’s malevolence: They cheered, and want America to move on.",retweet,"“I do hope the president can abandon his focus on legal stuff long enough to engage in stimulus negotiations,” said a senior administration official. “We have an opportunity to get stuff done and it should not be drowned out by the noise Trump and his lawyers have been making.”",tweet,"@ProjectLincoln Republicans: That baker can decide not to make a cake for a gay couple if it goes against their beliefs. Also Republicans: (see Hawley statement and Trump violation) Private companies get to choose, right?? Lol",retweet,"What's happening in the Senate has nothing to do with polarization. It's a far right attempt to overthrow an election and institute authoritarian rule. The frame of ""polarization"" absolves Republicans of being an extremist, far right, authoritarian movement.",retweet,"With the news from Business Insider that VP Pence refuses to invoke the 25th Amendment and call a meeting of Trump's cabinet because he fears it will adversely affect his 2024 presidential candidacy, Congress must *immediately* move to impeach the president. RETWEET if you agree.",retweet,0,,,,,,,,,,
DomPartipilo,Matt Lauer lost his job. Charlie Rose lost his job. Mark Halperin lost his job. Glenn Thrush lost his job. Billy Bush lost his job. Harvey Weinstein lost his job. Kevin Spacey lost his job. But in politics... Conyers still in Congress. Moore still running. Trump still President.,retweet,"Err, maybe not ""subjective"". I guess I'm just frustrated at how heavily these games are influenced by refs compared to how they used to be. I don't have data to back it up and maybe it just *seems* that way because of social media, but man, this just isn't fun to watch anymore.",reply,"Holy crap. One person, who refused to be tested and instead went to church and a buffet lunch, is the source of over 1,000 (!!) infections in S Korea. One person, who refused social distancing. No brunch or bar is worth being This Person.",retweet,"The birthday paradox is very famous in probability. If you take 23 people, there's about a 50/50 chance that two of them share a birthday. With 50 people, it's a 97% chance. We could make many other fun examples to illustrate the same counterintuitive phenomenon (thread).",retweet,". on LeBron wanting his respect: ""He has the most playoff buzzer-beaters than anyone, yet if you bring him up as 1 of the most clutch players you're shouted down. ... I think he says, 'Everywhere I've gone I've won a title in 2 yrs. What more do you want from me?'""",retweet,"As someone who just had GoT spoiled for me no more than 10 minutes after the episode ended, people have no right to be upset about being spoiled if they're on social media immediately after an episode. You assume that risk.",tweet,"Had a busy week, so I put Facebook and Twitter away for the week. Ended up being super productive, honestly didn't miss it, and it was actually kind of liberating. Really recommend it if you haven't tried it yet.",tweet,"Not pointing fingers at anyone specific and this is not a reaction to a post that I saw somewhere or anything like that. I'm just in that #LateNightThoughts mode and this is one of the more common thoughts that cross my mind on a daily basis, so I wanted to chuck it out there.",reply,"So, to be clear, as brilliant Jimmy Butler was this entire playoff run, carrying his team far past what their talent should allow, these playoffs actually *hurt* his legacy because he lost in the Finals, right? Aren’t those the rules?",retweet,I'm not some sort of COVID alarmist... I've tried to stay pretty even-keeled and have been burned by being too optimistic at times... but I find the rising case rates in the US (and for that matter also Europe) pretty worrisome right now.,retweet,0,,,,,,,,,,
Eight20Six,Why do democrats want to point out the fact no republicans supported the most recent stimulus bill and to GiVe YoUr ChEcK BaCk? Why not work for a bi partisan Bill and give more to the people?,tweet,"Really concerned for my Democrat friends. Maxine waters can incite violence, Nancy praised George for “sacrificing his life”. Double standards galore. Biden/Kamala refuse to go to the border and fix the issue they have now created. I hate this president.",tweet,The anti trump rhetoric sure has been fired up lately.,tweet,Reminder - it was a bullshit Bill with more shit loaded in it. One extremely small victory for the people is laughable. There’s a reason why zero republicans voted for it. The “tolerant” left strikes again.,reply,"Correction, I make one tweet about Twitter being left and now all I see is pro trump stuff 😂 lord they are always watching.",tweet,Why should they have to return it? That’s such a laughable argument. Did you pay extra taxes when trump cut them or did you bank that money to?,reply,My monthly post of asking @Twitter to stop pushing politics and democrat bullshit on my feed. K thanks,tweet,Dictator Biden at it again 😂. But when trump did this he was “racist” #TikTok,tweet,Retweet if you’re voting TRUMP in 2024!!,retweet,@SpeakerPelosi $600.00 isn’t shit. The entire government should be ashamed of themselves.,reply,0,,,,,,,,,,
cjoneil88,"Republicans: are a laughable embarrassment who make a mockery of everything they do, intent solely on being petty and messing things up for Democrats instead of actually serving their country Democrats: laugh Republicans: how dare you mock us!?",reply,"@RonFilipkowski If by ""political opponents"" he means opponents to the future of the American government, then he's right.",reply,"They better be ready to throw all of us with hearts and brains in prison, because we will always do anything we can to protect those that need it. Hell, prisoners might end up having more rights than women and minorities if Republicans have their way.",reply,"If you're in Florida &amp; see a sudden 30-40 cent rise in your gas price, please spread the word that the sole person responsible is Ron DeSantis—who deliberately ended the holiday on gas tax in hopes people will blame Biden. This is 100% GOP Cruelty.",retweet,"I'd be curious to see the average IQ of someone who voted Democrat in the last election compared to the average IQ of a GOP supporter. You know, for science.",tweet,"As Biden cancels (some) student debt, remember why the debt exists. A key Reagan advisor warned in 1970 that free college was producing the dangerously explosive ""dynamite"" of an ""educated proletariat,"" and ""we have to be selective on who we allow to go through higher education"":",retweet,"If there's one funny thing about the GOP banning abortions/etc, it's that the population that would likely grow as a result of the ban would be overwhelmingly Democrat. If they somehow succeed in their atrocities, the popular vote is going to become even more in favor of the left",tweet,@EvanMcMullin Republicans would have nominated a toaster to avoid not having someone under the Republican tag on the ballot. Good for Utah Democrats doing what is best for the constituents.,reply,"If Santos isn't booted from Congress, then the United States government is broken beyond repair. Simple as that.",quote,"So, after everything is done, we're putting a picture of Trump in the dictionary next to ""privilege"", right? Born rich, white, and male, he has bullied and lied his way thru life with little to no repercussions thus far, while acquiring a following of millions for doing it.",tweet,0,,,,,,,,,,
ethansen10,"Also since you brought politics into the conversation, make sure that you let everyone know that you pay an additional .32 a gallon thanks to a gas tax levied by your Republican led House, Senate, and Governor in Indiana but Biden’s responsible for that too, right?",reply,"FL being done early has mindfucked everyone into thinking this is 2016 redux. It’s not. I can assure you. Trump won Ohio by 8, he’s up 3 now. If those margins are true, WI, MI, PA are all still very much D strongholds.",reply,I think it’s easy to feel that way. But 1) 2020 isn’t 2016 2) a pandemic is currently taking place that has 225K dead Americans. 3) Joe Biden is significantly more popular than Hillary. 4) 50 mil Americans have already voted and every day that passes is less time for DJT to catch,tweet,"I have the perfect marketing idea that MSM can only use for 2 more weeks. Fact check DT’s rallies like VH1 pop up videos. “If Biden gets elected, he’ll cancel Christmas” POP UP: Actually, we found out Melania wanted to cancel Christmas two weeks ago and it’s on tape!",tweet,They most certainly are NOT free which is why they are a modern day poll tax. Nobody is coming to anyone’s house to provide them an ID and if you believe that I have a bridge in Brooklyn to sell you. The fact of the matter is it’s a barrier to prevent people from voting. Period.,reply,Ah right. That explains it. That’s YOUR perspective of how things work. This response perfectly sums up what’s wrong with our country. Political finger pointing bullshit (not rooted in any sense of reality or logic) and a lack of minuscule self-sacrifice. Good luck out there man.,reply,"@chrislhayes 1. Trump (child separations, sedition/insurrection, plus countless other atrocities) 2. Jackson (indigenous genocide) 3. Johnson (set Civil Rights back a century) 4. Nixon (Vietnam, abuse of power) 5. GWB (Katrina, 9/11, Iraq, etc)",reply,@DonaldJTrumpJr Jesus was a liberal brown skinned middle eastern man so naturally Republicans wouldn’t have given a shit.,reply,"PA GOP already said no shot. MI, WI have D Gov. Theres no play here. If they try, which the Supreme Court has already deemed illegal, they’ll be yanked by the D SOS in those states.",reply,"I truly believe because of his narcissism he thought that he could FA and not have to FO. Eventually, if you FA enough, you're going to FO. I think the juggling part is grief. We have someone who many of us cared about for their influence and their creativity, and he let us down.",reply,0,,,,,,,,,,
